Date,Commodity,Price
01/01/2020,Crude,51.58
01/01/2020,Urea,215.4
01/02/2020,Crude,44.83
01/02/2020,Urea,214.38
01/03/2020,Crude,20.51
01/03/2020,Urea,231.13
01/04/2020,Crude,19.23
01/04/2020,Urea,235
01/05/2020,Crude,35.57
01/05/2020,Urea,201.9
01/06/2020,Crude,39.27
01/06/2020,Urea,202
01/07/2020,Crude,40.1
01/07/2020,Urea,214.4
01/08/2020,Crude,42.61
01/08/2020,Urea,249.5
01/09/2020,Crude,40.05
01/09/2020,Urea,250.5
01/10/2020,Crude,35.64
01/10/2020,Urea,245
01/11/2020,Crude,45.2
01/11/2020,Urea,245
01/12/2020,Crude,48.35
01/12/2020,Urea,245
01/01/2021,Crude,52.16
01/01/2021,Urea,265
01/02/2021,Crude,61.55
01/02/2021,Urea,335
01/03/2021,Crude,59.19
01/03/2021,Urea,352.88
01/04/2021,Crude,63.5
01/04/2021,Urea,328.1
01/05/2021,Crude,66.31
01/05/2021,Urea,331.63
01/06/2021,Crude,73.52
01/06/2021,Urea,393.25
01/07/2021,Crude,73.93
01/07/2021,Urea,441.5
01/08/2021,Crude,68.43
01/08/2021,Urea,446.88
01/09/2021,Crude,75.22
01/09/2021,Urea,418.75
01/10/2021,Crude,83.5
01/10/2021,Urea,695
01/11/2021,Crude,66.14
01/11/2021,Urea,900.5
01/12/2021,Crude,75.33
01/12/2021,Urea,890
01/01/2022,Crude,89.16
01/01/2022,Urea,846.38
01/02/2022,Crude,96.13
01/02/2022,Urea,744.17
01/03/2022,Crude,100.53
01/03/2022,Urea,872.5
01/04/2022,Crude,104.59
01/04/2022,Urea,925
01/05/2022,Crude,114.38
01/05/2022,Urea,707.5
01/06/2022,Crude,107.76
01/06/2022,Urea,690
01/07/2022,Crude,101.31
01/07/2022,Urea,601
01/08/2022,Crude,90.09
01/08/2022,Urea,591.25
01/09/2022,Crude,79.91
01/09/2022,Urea,678
01/10/2022,Crude,86.54
01/10/2022,Urea,636.25
01/11/2022,Crude,80.48
01/11/2022,Urea,588.75
01/12/2022,Crude,80.16
01/12/2022,Urea,519.38
01/01/2023,Crude,78.95
01/01/2023,Urea,443.75
01/02/2023,Crude,76.88
01/02/2023,Urea,357.5
01/03/2023,Crude,75.68
01/03/2023,Urea,313.5
01/04/2023,Crude,76.78
01/04/2023,Urea,313.38
01/05/2023,Crude,68.11
01/05/2023,Urea,329.25
01/06/2023,Crude,70.66
01/06/2023,Urea,287.5
01/07/2023,Crude,81.8
01/07/2023,Urea,334.63
01/08/2023,Crude,83.55
01/08/2023,Urea,385.63
01/09/2023,Crude,90.77
01/09/2023,Urea,380
01/10/2023,Crude,81.64
01/10/2023,Urea,411.38
01/11/2023,Crude,75.66
01/11/2023,Urea,385.5
01/12/2023,Crude,71.89
01/12/2023,Urea,354
01/01/2024,Crude,76.28
01/01/2024,Urea,335.38
01/02/2024,Crude,79.22
01/02/2024,Urea,351.25
01/03/2024,Crude,83.96
01/03/2024,Urea,330
01/04/2024,Crude,83.49
01/04/2024,Urea,320
01/05/2024,Crude,77.97
01/05/2024,Urea,284.8
01/06/2024,Crude,81.54
01/06/2024,Urea,336.25
01/07/2024,Crude,75.27
01/07/2024,Urea,342.5
01/08/2024,Crude,73.55
01/08/2024,Urea,342.5
01/09/2024,Crude,68.17
01/09/2024,Urea,337.5
01/10/2024,Crude,70.62
01/10/2024,Urea,374.75
01/11/2024,Crude,68
01/11/2024,Urea,352.3
01/12/2024,Crude,71.72
01/12/2024,Urea,352
01/01/2025,Crude,72.53
01/01/2025,Urea,380.5
01/02/2025,Crude,70.13
01/02/2025,Urea,436.5
01/03/2025,Crude,69.37
01/03/2025,Urea,394.5
01/04/2025,Crude,58.35
01/04/2025,Urea,386.88
01/05/2025,Crude,60.79
01/05/2025,Urea,392
01/06/2025,Crude,64.79
01/06/2025,Urea,420.5
01/07/2025,Crude,70.31
01/07/2025,Urea,496
01/08/2025,Crude,64.21
01/08/2025,Urea,507.7
01/09/2025,Crude,63.17
01/09/2025,Urea,461.13
01/10/2025,Crude,61.75
01/10/2025,Urea,394.4
01/11/2025,Crude,58.58
01/11/2025,Urea,409.25
01/12/2025,Crude,57.26
01/12/2025,Urea,392.5
01/01/2026,Crude,64.5
01/01/2026,Urea,415.4
01/02/2026,Crude,66.96
01/02/2026,Urea,472
01/03/2026,Crude,104.69
01/03/2026,Urea,531.82
01/04/2026,Crude,111.54
01/04/2026,Urea,689.77
