Date,Crude
01/01/2020,51.58
02/01/2020,44.83
03/01/2020,20.51
04/01/2020,19.23
05/01/2020,35.57
06/01/2020,39.27
07/01/2020,40.1
08/01/2020,42.61
09/01/2020,40.05
10/01/2020,35.64
11/01/2020,45.2
12/01/2020,48.35
01/01/2021,52.16
02/01/2021,61.55
03/01/2021,59.19
04/01/2021,63.5
05/01/2021,66.31
06/01/2021,73.52
07/01/2021,73.93
08/01/2021,68.43
09/01/2021,75.22
10/01/2021,83.5
11/01/2021,66.14
12/01/2021,75.33
01/01/2022,89.16
02/01/2022,96.13
03/01/2022,100.53
04/01/2022,104.59
05/01/2022,114.38
06/01/2022,107.76
07/01/2022,101.31
08/01/2022,90.09
09/01/2022,79.91
10/01/2022,86.54
11/01/2022,80.48
12/01/2022,80.16
01/01/2023,78.95
02/01/2023,76.88
03/01/2023,75.68
04/01/2023,76.78
05/01/2023,68.11
06/01/2023,70.66
07/01/2023,81.8
08/01/2023,83.55
09/01/2023,90.77
10/01/2023,81.64
11/01/2023,75.66
12/01/2023,71.89
01/01/2024,76.28
02/01/2024,79.22
03/01/2024,83.96
04/01/2024,83.49
05/01/2024,77.97
06/01/2024,81.54
07/01/2024,75.27
08/01/2024,73.55
09/01/2024,68.17
10/01/2024,70.62
11/01/2024,68
12/01/2024,71.72
01/01/2025,72.53
02/01/2025,70.13
03/01/2025,69.37
04/01/2025,58.35
05/01/2025,60.79
06/01/2025,64.79
07/01/2025,70.31
08/01/2025,64.21
09/01/2025,63.17
10/01/2025,61.75
11/01/2025,58.58
12/01/2025,57.26
01/01/2026,64.5
02/01/2026,66.96
03/01/2026,104.69
04/01/2026,111.54
