Rank,Country, Urea Import Value (USD) , Total GDP (Nominal USD) ,urea_gdp
1,Brazil," 2,951,757,000 "," 2,170,000,000,000 ",0.14
2,India," 2,163,440,000 "," 3,550,000,000,000 ",0.06
3,United States," 1,867,715,000 "," 27,360,000,000,000 ",0.01
4,Australia," 1,451,983,000 "," 1,700,000,000,000 ",0.09
5,Thailand," 971,125,000 "," 512,000,000,000 ",0.19
6,Turkey," 886,918,000 "," 1,110,000,000,000 ",0.08
7,France," 608,433,000 "," 3,030,000,000,000 ",0.02
8,Mexico," 535,083,000 "," 1,790,000,000,000 ",0.00
9,Canada," 518,342,000 "," 2,140,000,000,000 ",0.00
10,Poland," 445,944,000 "," 811,000,000,000 ",0.00
11,Argentina," 405,530,000 "," 640,000,000,000 ",0.00
12,Italy," 358,715,000 "," 2,230,000,000,000 ",0.00
13,Spain," 352,425,000 "," 1,580,000,000,000 ",0.00
14,Philippines," 336,140,000 "," 437,000,000,000 ",0.00
15,South Africa," 323,127,000 "," 378,000,000,000 ",0.00
16,United Kingdom," 317,470,000 "," 3,340,000,000,000 ",0.00
17,South Korea," 306,100,000 "," 1,710,000,000,000 ",0.00
18,Romania," 248,467,000 "," 351,000,000,000 ",0.00
19,Colombia," 228,017,000 "," 363,000,000,000 ",0.00
20,Chile," 213,090,000 "," 335,000,000,000 ",0.00
